"";"Company";"Year";"DateFactor";"AmihudMin";"Amihud1stQ";"AmihudMed";"AmihudMean";"Amihud3rdQ";"AmihudMax";"BidAskMin";"BidAsk1stQ";"BidAskMed";"BidAskMean";"BidAsk3rdQ";"BidAskMax";"AmihudV2Min";"AmihudV21stQ";"AmihudV2Med";"AmihudV2Mean";"AmihudV23rdQ";"AmihudV2Max";"CSR";"BusinessType";"NationCode";"NationFactor";"LegalOrigin";"LegalOriginCode";"Aktienkurs";"BidKurs";"AskKurs";"HandelsvolumenTsd";"TotalAssests";"ROEin";"MarketBeta";"MTB";"DividendeproAktieDPS";"dividendyield";"Marktkapitalisierung";"AnzahlausstehenderAktien";"NetIncome";"OperatingIncome";"EBIT";"EBITDA";"LeverageRatioTotalDebtCommonEquity";"TotalDebt";"SolvencyRatio";"Asset4CSR";"TGwennMutterauchinListe1";"ROA";"M1";"Handelsvolumen";"DollarVolume";"DebtRatio";"LogTotalAssets";"LogMarktkapitalisierung";"DividendBinary";"BidAskMean_Annual";"AktienkursVorjahr";"Kursrendite";"AmihudMean_Annual";"Aktienrendite";"Turnover";"logAktienkurs";"ReturnVolatility";"AmihudMean6";"LegalDummy_Binary";"LegalDummy_English";"LegalDummy_German";"LegalDummy_French";"LegalDummy_Scand";"LegalDummy_Soc";"CSR_Lag1";"CSR_Lag2";"CSR_Lag3";"CSR_Lag4";"Asset4CSR_Lag1";"Asset4CSR_Lag2";"Asset4CSR_Lag3";"Asset4CSR_Lag4";"Turnover_Lag1";"YearDummy_08";"YearDummy_09";"BComposite";"BLife";"BNonLife"
"AbuDhabiNati-2005";"AbuDhabiNati";2005;"2005-01-01";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;4,23;NA;NA;11186,7;634160;NA;-0,991;0,34;0,136;0,17;NA;242000;90796;90796;90796;1465;0;0;1;NA;FALSE;0,143175223918254;NA;11186700;47319741;0;20,2678118464932;NA;TRUE;NA;NA;NA;NA;NA;0,0462260330578512;1,44220199305819;NA;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE
"AbuDhabiNati-2006";"AbuDhabiNati";2006;"2006-01-01";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,98;NA;NA;4920,3;572161;18,24;0,36;1,57;0,136;3,57;NA;300000;81707;81707;81707;1406;0;0;1310;NA;FALSE;0,142804210702932;NA;4920300;9742194;0;20,1649309782707;NA;TRUE;NA;4,23;-53,1914893617021;-5,45989375194346e-06;-0,499763593380615;0,016401;0,683096844706444;0,0803852100935365;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;0.0462260330578512;FALSE;FALSE;FALSE;FALSE;TRUE
"AbuDhabiNati-2007";"AbuDhabiNati";2007;"2007-01-01";-0,00198;-0,000244;-7,41e-05;-0,000208;-5,53e-06;0;0,0112;0,0652;0,087;0,0875;0,104;0,18;-1,98e-05;-2,44e-06;-7,41e-07;-2,08e-06;-5,53e-08;0;0;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,82;NA;NA;14093,5;757245;17,24;-0,69;1,25;0,068;5,97;NA;300000;89913;78585;89913;1461;0;0;1320;NA;FALSE;0,118737000574451;NA;14093500;25650170;0;20,4451974050106;NA;TRUE;NA;1,98;-8,08080808080808;-3,15039113132276e-07;-0,0464646464646464;0,0469783333333333;0,598836501088704;0,0514542995820172;-208;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;0;NA;NA;NA;NA;NA;NA;NA;0.016401;FALSE;FALSE;FALSE;FALSE;TRUE
"AbuDhabiNati-2008";"AbuDhabiNati";2008;"2008-01-01";-0,0414;-8,72e-05;-1,46e-05;-0,000934;-2,81e-06;0;0,00418;0,0437;0,072;0,125;0,165;0,432;-0,000423;-8,72e-07;-1,46e-07;-9,47e-06;-2,81e-08;0;0;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;2,33;2,22;2,31;10318,8;653869;10,15;-0,285;1,5;0,136;2,34;847365;375000;57245;30729;57245;1186;0;0;1198;NA;FALSE;0,0875481174363672;2,265;10318800;24042804;0;20,2984175835472;20,5576420924952;TRUE;0,0397350993377483;1,82;28,021978021978;-1,16550306254122e-06;0,354945054945055;0,0275168;0,845868267577609;0,0791406733348551;-934;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;0;0;NA;NA;NA;NA;NA;NA;0.0469783333333333;TRUE;FALSE;FALSE;FALSE;TRUE
"AbuDhabiNati-2009";"AbuDhabiNati";2009;"2009-01-01";-0,00554;-3,65e-05;-1,77e-05;-0,000356;0;0;0,0287;0,0698;0,0795;0,0796;0,088;0,191;-5,56e-05;-3,65e-07;-1,77e-07;-3,57e-06;0;0;2;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,64;1,63;1,78;1870,3;746206;2,51;0,028;1,13;0,068;8,31;917832;375000;14143;3389;14143;322;0;0;1212;NA;FALSE;0,0189532113116217;1,705;1870300;3067292;0;20,4305122594588;20,6375249253011;TRUE;0,0879765395894429;2,33;-29,6137339055794;-9,6546370383973e-06;-0,266952789699571;0,00498746666666667;0,494696241836107;0,0410422711652152;-356;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;0;0;0;NA;NA;NA;NA;NA;0.0275168;TRUE;TRUE;FALSE;FALSE;TRUE
"AbuDhabiNati-2010";"AbuDhabiNati";2010;"2010-01-01";-0,0522;-0,000174;-4,23e-06;-0,00196;0;0;0,0059;0,0293;0,0702;0,0734;0,0932;0,196;-0,000536;-1,74e-06;-4,23e-08;-2e-05;0;0;12;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,65;1,66;1,73;28267,9;796877;7,05;0,5;1,11;0,095;4,13;710631;375000;38772;45116;38772;974;1,8;10001;1203;NA;FALSE;0,0486549367091785;1,695;28267900;46642035;0,0125502430111548;20,4962108961118;20,3816638657052;TRUE;0,0412979351032449;1,64;0,609756097560976;-1,30731022929606e-08;0,0640243902439025;0,0753810666666667;0,500775287912489;0,0404683384042841;-1960;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;2;0;0;NA;NA;NA;NA;0;0.00498746666666667;TRUE;TRUE;FALSE;FALSE;TRUE
"AbuDhabiNati-2011";"AbuDhabiNati";2011;"2011-01-01";-0,0126;-6,81e-05;-6,84e-06;-0,000882;0;0;0,00601;0,0242;0,0359;0,0482;0,0537;0,155;-0,000126;-6,81e-07;-6,84e-08;-8,86e-06;0;0;13;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,7;1,55;1,7;11336,2;847503;7,71;-0,37;1,14;0,095;5,6;612583;375000;43060;46463;43060;1042;0;0;1189;NA;FALSE;0,050808079735411;1,625;11336200;19271540;0;20,5578049370356;20,2331950014066;TRUE;0,0923076923076923;1,65;3,03030303030303;-1,57242378745231e-07;0,0878787878787879;0,0302298666666667;0,53062825106217;0,0203578032813011;-882;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12;2;0;NA;NA;NA;NA;0;0.0753810666666667;TRUE;TRUE;FALSE;FALSE;TRUE
"AbuDhabiNati-2012";"AbuDhabiNati";2012;"2012-01-01";-0,00589;-0,000854;-0,000125;-0,000803;-7,56e-06;0;0,00697;0,0212;0,0403;0,0454;0,0478;0,133;-5,91e-05;-8,55e-06;-1,25e-06;-8,05e-06;-7,56e-08;0;13;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,53;1,42;NA;5690,5;943340;7,03;0,085;1,02;0,109;6,24;551323;375000;39407;39407;39407;1003;1,01;5657;1153;NA;FALSE;0,0417739097250196;NA;5690500;8706465;0,00599677740793351;20,6649373270463;20,1278314022616;TRUE;NA;1,7;-10;-1,14857112007746e-06;-0,0358823529411764;0,0151746666666667;0,425267735404344;0,0167449091814626;-803;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;13;12;2;NA;NA;NA;NA;0;0.0302298666666667;TRUE;TRUE;FALSE;FALSE;TRUE
"AbuDhabiNati-2013";"AbuDhabiNati";2013;"2013-01-01";-0,00216;-0,000163;-1,61e-05;-0,000204;0;0;0,00635;0,0212;0,0387;0,0483;0,0698;0,138;-2,16e-05;-1,63e-06;-1,61e-07;-2,05e-06;0;0;13;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,52;1,57;1,58;1469,1;1031815;8,33;0,612;0,92;0,123;7,14;602357;375000;49262;41573;NA;1;0,91;5657;1014;NA;FALSE;0,0477430547142656;1,575;1469100;2233032;0,0054825719726889;20,7545852243703;20,2163608507601;TRUE;0,00634920634920635;1,53;-0,653594771241828;-2,92693824086371e-07;0,0738562091503268;0,0039176;0,418710334858185;0,0175109750436426;-204;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;13;13;12;NA;NA;NA;NA;2;0.0151746666666667;TRUE;TRUE;FALSE;FALSE;TRUE
"AbuDhabiNati-2014";"AbuDhabiNati";2014;"2014-01-01";-0,00609;-0,000351;-1,27e-05;-0,00068;0;0;0;0,0279;0,0559;0,0606;0,0826;0,233;-6,11e-05;-3,51e-06;-1,27e-07;-6,81e-06;0;0;12;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,77;1,67;1,91;4640;1009666;-14,31;-3,052;1,49;0;6,92;617677;375000;-76347;-76347;NA;1;1,27;5657;666;NA;FALSE;-0,0756160948273984;1,79;4640000;8212800;0,00560284292033207;20,7328854200393;20,2414762250692;FALSE;0,134078212290503;1,52;16,4473684210526;-2,00264854275888e-06;0,164473684210526;0,0123733333333333;0,570979546585738;0,0398165924889361;-680;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;13;13;13;NA;NA;NA;NA;12;0.0039176;TRUE;TRUE;FALSE;FALSE;TRUE
"AbuDhabiNati-2015";"AbuDhabiNati";2015;"2015-01-01";-0,0452;-0,000156;-0,000111;-0,00356;0;0;0,0244;0,0431;0,0565;0,0787;0,101;0,198;-0,000463;-1,56e-06;-1,11e-06;-3,64e-05;0;0;12;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,18;1,06;NA;5217,5;977511;-23,27;1,297;1,31;0;10,42;294032;375000;-91074;-91074;NA;1;0;0;485;NA;FALSE;-0,0931692840285173;NA;5217500;6156650;0;20,7005201029574;19,4991991629173;FALSE;NA;1,77;-33,3333333333333;-5,41418516508018e-06;-0,333333333333333;0,0139133333333333;0,165514438477573;0,0215905962435929;-3560;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12;13;13;NA;NA;NA;NA;13;0.0123733333333333;TRUE;TRUE;FALSE;FALSE;TRUE
"AdmiralGroup-2005";"AdmiralGroup";2005;"2005-01-01";-0,00249;-0,00249;-0,00249;-0,00249;-0,00249;-0,00249;0,0103;0,0103;0,0103;0,0103;0,0103;0,0103;-2,5e-05;-2,5e-05;-2,5e-05;-2,5e-05;-2,5e-05;-2,5e-05;NA;"Non-Life";826;"UNITED KINGDOM";"English";1;6,91;6,91;6,95;306303,6;1096432;51,97;-0,576;5,47;0,443;0,81;2116744;259862;152424;219782;218877;624;13,7;44707;1;32,33;FALSE;0,13901819720694;6,93;306303600;2116557876;0,0407749865016709;20,8153271083953;21,4731448959486;TRUE;0,00577200577200578;1,18;485,593220338983;-2,29425885283901e-07;5,23135593220339;1,17871639562537;1,93296963777958;NA;-2490;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE
"AdmiralGroup-2006";"AdmiralGroup";2006;"2006-01-01";-1,06e-06;-1,85e-07;-8,01e-08;-1,5e-07;-3,45e-08;0;0;0,00171;0,0033;0,00375;0,00511;0,0142;-1,06e-08;-1,85e-09;-8,01e-10;-1,5e-09;-3,45e-10;0;18;"Non-Life";826;"UNITED KINGDOM";"English";1;12,72;12,72;12,75;298213,3;1284696;51,8;0,73;7,97;0,684;2,17;5410023;260509;196444;281272;280986;806;0,64;2648;660;62,55;FALSE;0,15291088319727;12,735;298213300;3793273176;0,0020611880164646;20,9737879514296;22,4115191811821;TRUE;0,00235571260306238;6,91;84,0810419681621;-2,21658280382979e-08;0,939797395079595;1,14473319539824;2,54317555791198;0,227198103687021;-0,15;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA;32.33;NA;NA;NA;NA;1.17871639562537;FALSE;FALSE;FALSE;FALSE;TRUE
"AdmiralGroup-2007";"AdmiralGroup";2007;"2007-01-01";-2,94e-07;-9,32e-08;-5,44e-08;-6,75e-08;-2,22e-08;0;0,000472;0,000935;0,0012;0,00177;0,00217;0,0125;-2,94e-09;-9,32e-10;-5,44e-10;-6,75e-10;-2,22e-10;0;14;"Non-Life";826;"UNITED KINGDOM";"English";1;16,79;16,79;16,81;426613,9;1478288;55,8;-0,033;9,24;0,879;2,15;5764718;261757;255565;365482;365813;956;0,15;700;626;63,65;FALSE;0,172879033043629;16,8;426613900;7162847381;0,000473520721266763;21,1141504984062;22,4750220735994;TRUE;0,00119047619047617;12,72;31,9968553459119;-4,46705804681229e-09;0,389072327044025;1,62980894493748;2,82078347108945;0,4519943721628;-0,0675;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;18;NA;NA;62.55;32.33;NA;NA;NA;1.14473319539824;FALSE;FALSE;FALSE;FALSE;TRUE
"AdmiralGroup-2008";"AdmiralGroup";2008;"2008-01-01";-6,79e-06;-1,96e-07;-8,96e-08;-2,3e-07;-4,87e-08;0;0;0,000612;0,00111;0,00236;0,00184;0,117;-6,79e-08;-1,96e-09;-8,96e-10;-2,3e-09;-4,87e-10;0;12;"Non-Life";826;"UNITED KINGDOM";"English";1;17,64;17,63;17,64;355980,2;1567349;56,48;1,25;9,1;0,976;2,52;4403912;263311;269346;376150;376396;984;0,05;260;623;59,33;FALSE;0,171848133376804;17,635;355980200;6279490728;0,000165885198510351;21,1726514940927;22,2057590737725;TRUE;0,000567054153671764;16,79;5,06253722453842;-8,06201771682872e-10;0,108755211435378;1,35193820235387;2,87016905057865;0,643051520798554;-0,23;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;14;18;NA;63.65;62.55;32.33;NA;NA;1.62980894493748;TRUE;FALSE;FALSE;FALSE;TRUE
"AdmiralGroup-2009";"AdmiralGroup";2009;"2009-01-01";-1,82e-06;-2,75e-07;-1,69e-07;-2,18e-07;-7,3e-08;0;0;0,000775;0,00146;0,00191;0,00247;0,0118;-1,82e-08;-2,75e-09;-1,69e-09;-2,18e-09;-7,3e-10;0;16;"Non-Life";826;"UNITED KINGDOM";"English";1;17,81;17,81;17,86;195355;1592293;54,5;0,254;9,57;0,949;2,29;5194357;265293;259026;356594;NA;1;0,13;660;586;66,13;FALSE;0,162674834342674;17,835;195355000;3479272550;0,000414496578205142;21,1884409526605;22,3708386809786;TRUE;0,00280347631062521;17,64;0,963718820861659;-2,76988654196949e-10;0,0634353741496597;0,736374499138688;2,87976009730157;0,316359681811482;-0,218;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12;14;18;59.33;63.65;62.55;32.33;NA;1.35193820235387;TRUE;TRUE;FALSE;FALSE;TRUE
"AdmiralGroup-2010";"AdmiralGroup";2010;"2010-01-01";-2,15e-06;-1,56e-07;-8,52e-08;-1,18e-07;-4,26e-08;0;0,000366;0,00052;0,000865;0,000952;0,00112;0,00337;-2,15e-08;-1,56e-09;-8,52e-10;-1,18e-09;-4,26e-10;0;15;"Non-Life";826;"UNITED KINGDOM";"English";1;22,9;22,89;22,9;137271,8;2166583;59,58;0,809;11,31;1,056;1,79;6273735;267072;300496;411671;NA;1;0,06;310;368;78,44;FALSE;0,138695817330792;22,895;137271800;3143524220;0,000143082448260694;21,4964171090497;22,559637708016;TRUE;0,000436776588774755;17,81;28,579449747333;-9,09153148628835e-09;0,345087029758563;0,513987988257848;3,13113691056019;0,337208692545615;-0,118;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;16;12;14;66.13;59.33;63.65;62.55;18;0.736374499138688;TRUE;TRUE;FALSE;FALSE;TRUE
"AdmiralGroup-2011";"AdmiralGroup";2011;"2011-01-01";-8,69e-07;-1,87e-07;-8,65e-08;-1,22e-07;-3,75e-08;0;0;0,000725;0,000961;0,00119;0,0015;0,00613;-8,69e-09;-1,87e-09;-8,65e-10;-1,22e-09;-3,75e-10;0;14;"Non-Life";826;"UNITED KINGDOM";"English";1;25,32;25,32;25,33;134278,3;3240741;59,45;0,379;10,54;1,247;3,3;3784289;269289;364847;493335;NA;1;0,23;1484;227;68,9;FALSE;0,112581350993492;25,325;134278300;3399926556;0,000457919963366403;21,8990678443056;22,0541238594269;TRUE;0,00039486673247771;22,9;10,5676855895197;-3,10820990684256e-09;0,160131004366812;0,498640122693463;3,23159459727598;0,593959865604;-0,122;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;15;16;12;78.44;66.13;59.33;63.65;14;0.513987988257848;TRUE;TRUE;FALSE;FALSE;TRUE
"AdmiralGroup-2012";"AdmiralGroup";2012;"2012-01-01";-5,69e-07;-2,13e-07;-1,19e-07;-1,53e-07;-6,28e-08;0;0;0,000606;0,00112;0,00136;0,00164;0,00872;-5,69e-09;-2,13e-09;-1,19e-09;-1,53e-09;-6,28e-10;0;17;"Non-Life";826;"UNITED KINGDOM";"English";1;18,92;18,92;18,94;207593,1;3790757;60,73;1,618;7,07;1,439;4,69;5040903;273524;410533;547483;NA;1;0,18;1271;192;54,99;FALSE;0,108298421660898;18,93;207593100;3927661452;0,00033528923114829;22,0558315722439;22,3408510696479;TRUE;0,00105652403592179;25,32;-25,2764612954186;-6,43549900186452e-09;-0,195932069510269;0,758957532063;2,94021956362373;0,346650938227159;-0,153;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;14;15;16;68.9;78.44;66.13;59.33;12;0.498640122693463;TRUE;TRUE;FALSE;FALSE;TRUE
"AdmiralGroup-2013";"AdmiralGroup";2013;"2013-01-01";-8,4e-07;-1,35e-07;-7,35e-08;-1,06e-07;-3,74e-08;0;0,000465;0,00051;0,00098;0,000908;0,00103;0,00386;-8,4e-09;-1,35e-09;-7,35e-10;-1,06e-09;-3,74e-10;0;30;"Non-Life";826;"UNITED KINGDOM";"English";1;20,19;20,18;20,19;125181,6;3994584;59;0,068;6,88;1,552;5,16;5640872;276141;447533;577271;NA;1;0,02;156;220;61,61;FALSE;0,112034945315958;20,185;125181600;2527416504;3,90528775962653e-05;22,10820528058;22,4533045004346;TRUE;0,000495417389150437;18,92;6,71247357293869;-2,65586352557283e-09;0,149154334038055;0,453324931828305;3,00518743232475;0,236095623701073;-0,106;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;17;14;15;54.99;68.9;78.44;66.13;16;0.758957532063;TRUE;TRUE;FALSE;FALSE;TRUE
"AdmiralGroup-2014";"AdmiralGroup";2014;"2014-01-01";-2,2e-07;-9,59e-08;-5,35e-08;-6,22e-08;-2,25e-08;0;0,000371;0,000496;0,00083;0,000825;0,000969;0,00629;-2,2e-09;-9,59e-10;-5,35e-10;-6,22e-10;-2,25e-10;0;27;"Non-Life";826;"UNITED KINGDOM";"English";1;21,91;21,91;21,92;156006,9;5012242;52,67;1,806;6,44;1,631;3,64;6105030;278690;472590;588750;588750;1299;36,18;340026;208;61,5;FALSE;0,0942871473484321;21,915;156006900;3418111179;0,0678391027408493;22,3351491569327;22,5323788585019;TRUE;0,000456308464522088;20,19;8,51906884596334;-2,49233233740319e-09;0,165973254086181;0,559786501130288;3,08694315360738;0,339793760371473;-0,0622;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;30;17;14;61.61;54.99;68.9;78.44;15;0.453324931828305;TRUE;TRUE;FALSE;FALSE;TRUE
"AdmiralGroup-2015";"AdmiralGroup";2015;"2015-01-01";-2,77e-07;-9,16e-08;-5,67e-08;-6,56e-08;-2,64e-08;0;0,000394;0,000438;0,000812;0,000737;0,000882;0,00263;-2,77e-09;-9,16e-10;-5,67e-10;-6,56e-10;-2,64e-10;0;28;"Non-Life";826;"UNITED KINGDOM";"English";1;24,46;24,44;24,46;213315,1;5175461;50,72;-0,464;7,08;1,792;3,05;7319608;281588;470055;595090;595090;1304;36,82;355205;209;70;FALSE;0,0908237932814101;24,45;213315100;5217687346;0,0686325334110333;22,3671942542559;22,7138226115731;TRUE;0,000817995910020432;21,91;11,6385212231858;-2,23058993249394e-09;0,198174349612049;0,757543290197025;3,19703913025903;0,328886837261904;-0,0656;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;27;30;17;61.5;61.61;54.99;68.9;14;0.559786501130288;TRUE;TRUE;FALSE;FALSE;TRUE
"AegonNV-2005";"AegonNV";2005;"2005-01-01";-7,89e-07;-7,89e-07;-7,89e-07;-7,89e-07;-7,89e-07;-7,89e-07;0,00145;0,00145;0,00145;0,00145;0,00145;0,00145;-7,89e-09;-7,89e-09;-7,89e-09;-7,89e-09;-7,89e-09;-7,89e-09;NA;"Composite";528;"NETHERLANDS";"French";2;12,8633;12,8522;12,8633;2345146;379693996;19,57;1,7439;1,21;0,549;3,71;26439591;1575662;3076535;4542191;4866808;1101;63,91;11750876;1;94,2;FALSE;0,00810266960344561;12,85775;2345146000;30166316541,8;0,030948279729975;26,6626314915756;23,9981283828239;TRUE;0,000863292566739964;24,46;-47,4108748977923;-1,57164947599272e-09;-0,451663941128373;1,4883560052854;2,55437829553315;NA;-0,789;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE;FALSE;FALSE
"AegonNV-2006";"AegonNV";2006;"2006-01-01";-3,66e-08;-1,22e-08;-7,01e-09;-8,94e-09;-2,96e-09;-5,6e-11;0,000641;0,000697;0,000732;0,000897;0,000777;0,00391;-3,66e-10;-1,22e-10;-7,01e-11;-8,94e-11;-2,96e-11;-5,6e-13;NA;"Composite";528;"NETHERLANDS";"French";2;15,7331;15,7331;15,7447;2131480;402815851;16,8;0,9973;1,41;0,704;3,48;29232363;1582117;3283331;4800880;4800880;1093;90,42;17920130;1370;91,4;FALSE;0,00815094786327065;15,7389;2131480000;33534787988;0,0444871520212346;26,7217453490523;24,0985422544032;TRUE;0,000737027365317755;12,8633;22,3099826638576;-6,6527872078023e-10;0,277829172918302;1,34723285319607;2,75576677330495;0,232655317839009;-0,00894;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;NA;NA;NA;94.2;NA;NA;NA;NA;1.4883560052854;FALSE;FALSE;TRUE;FALSE;FALSE
"AegonNV-2007";"AegonNV";2007;"2007-01-01";-5,95e-08;-7,61e-09;-4,87e-09;-5,81e-09;-2,84e-09;-8,17e-11;0,000623;0,00066;0,000716;0,000859;0,000785;0,00384;-5,95e-10;-7,61e-11;-4,87e-11;-5,81e-11;-2,84e-11;-8,17e-13;NA;"Composite";528;"NETHERLANDS";"French";2;16,5668;16,5668;16,5791;2527043;426380946;14,66;0,4619;1,38;0,842;4,55;24619790;1500214;3109783;4811951;4820095;1091;69,72;14921799;1263;88,18;FALSE;0,00729343801399606;16,57295;2527043000;41865015972,4;0,0349964020202723;26,7785990230585;23,9268164280157;TRUE;0,000742173240129232;15,7331;5,29901926511622;-1,26573862494245e-10;0,106507935499043;1,6844550177508;2,80740069269182;0,249213526429403;-0,00581;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;NA;NA;NA;91.4;94.2;NA;NA;NA;1.34723285319607;FALSE;FALSE;TRUE;FALSE;FALSE
"AegonNV-2008";"AegonNV";2008;"2008-01-01";-4,35e-07;-2,81e-08;-1,43e-08;-3,4e-08;-6,71e-09;-9,44e-11;0,000115;0,000506;0,000994;0,00148;0,00181;0,0149;-4,35e-09;-2,81e-10;-1,43e-10;-3,4e-10;-6,71e-11;-9,43e-13;NA;"Composite";528;"NETHERLANDS";"French";2;10,7483;10,712;10,7497;3610373;423450293;-9,34;1,605;0,89;0,444;7,77;10159722;1515449;-2049010;808937;-792640;425;95,55;19615978;947;84,28;FALSE;-0,0048388442135285;10,73085;3610373000;38805372115,9;0,0463241573433036;26,7717019722491;23,0416969165177;TRUE;0,00351323520503976;16,5668;-35,1214477147065;-9,0506668785194e-10;-0,324413888016998;2,38237842382027;2,37474760253341;0,425668074663249;-0,034;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;NA;NA;NA;88.18;91.4;94.2;NA;NA;1.6844550177508;TRUE;FALSE;TRUE;FALSE;FALSE
"AegonNV-2009";"AegonNV";2009;"2009-01-01";-6,4e-07;-7,38e-08;-3,27e-08;-5,41e-08;-1,54e-08;-5,21e-10;0;0,000255;0,000512;0,000893;0,000947;0,00862;-6,4e-09;-7,38e-10;-3,27e-10;-5,41e-10;-1,54e-10;-5,21e-12;NA;"Composite";528;"NETHERLANDS";"French";2;6,9244;6,9244;6,9257;4270315;419368756;-1,78;2,299;0,66;0;5,63;11081455;1706778;-354663;537715;-74365;634;102,15;20484638;1261;92,57;FALSE;-0,000845706779357688;6,92505;4270315000;29569369186;0,0488463618400795;26,7620164557389;23,1285388273337;FALSE;0,000187724276358963;10,7483;-35,576788887545;-1,20316356805101e-09;-0,35576788887545;2,50197448057099;1,93505140572044;0,272096469458386;-0,0541;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;NA;NA;NA;84.28;88.18;91.4;94.2;NA;2.38237842382027;TRUE;TRUE;TRUE;FALSE;FALSE
"AegonNV-2010";"AegonNV";2010;"2010-01-01";-7,68e-08;-2,93e-08;-1,78e-08;-2,1e-08;-8,87e-09;-4,22e-11;0,000182;0,000223;0,000411;0,000575;0,000655;0,00523;-7,68e-10;-2,93e-10;-1,78e-10;-2,1e-10;-8,87e-11;-4,22e-13;NA;"Composite";528;"NETHERLANDS";"French";2;4,9679;4,9679;4,969;4626795;412864380;8,44;1,1301;0,45;0;0;9885039;1706804;1635202;3042589;2961588;1094;89,52;18813679;1365;90,36;FALSE;0,00396062745834358;4,96845;4626795000;22985454880,5;0,045568665913974;26,7463849982557;23,014288238933;FALSE;0,000221397015165716;6,9244;-28,2551556813587;-1,22926246883755e-09;-0,282551556813587;2,71079456106266;1,60299721560411;0,139894812976081;-0,021;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;NA;NA;NA;92.57;84.28;88.18;91.4;NA;2.50197448057099;TRUE;TRUE;TRUE;FALSE;FALSE
"AegonNV-2011";"AegonNV";2011;"2011-01-01";-2,1e-07;-5,58e-08;-2,66e-08;-3,93e-08;-1,03e-08;-7,18e-10;0,00017;0,000314;0,000549;0,000733;0,000917;0,0034;-2,1e-09;-5,58e-10;-2,66e-10;-3,93e-10;-1,03e-10;-7,18e-12;NA;"Composite";528;"NETHERLANDS";"French";2;3,7549;3,7549;3,7562;3553201;480618065;-0,66;2,0394;0,29;0,144;3,49;8391073;1880288;-168375;2095331;2024815;1027;80,95;21641204;1385;91,16;FALSE;-0,00035033015248813;3,75555;3553201000;13341914434,9;0,0450278621965656;26,8983387479735;22,8504342395939;TRUE;0,000346154358216527;4,9679;-24,4167555707643;-1,83007875353043e-09;-0,215181465005334;1,88971104426556;1,32306165370303;0,160026866043355;-0,0393;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;NA;NA;NA;90.36;92.57;84.28;88.18;NA;2.71079456106266;TRUE;TRUE;TRUE;FALSE;FALSE
